run_id,execution_order,time_a,time_b
0,B_then_A,0.9525677690035081,0.8682221419949201
1,B_then_A,1.0448398849985097,1.0749112740013516
2,B_then_A,1.0858731219996116,1.0660675079998327
3,A_then_B,0.9971616699986043,1.0071750400020392
4,B_then_A,0.9869211679979344,0.9798608219934977
5,B_then_A,0.9986147300005541,0.9851290160004282
6,B_then_A,1.0082732000009855,0.9881097769975895
7,B_then_A,0.9893991710050614,1.0101143130013952
8,B_then_A,0.9605810680004652,0.9776492579985643
9,A_then_B,0.970575428000302,0.9758302679983899
10,A_then_B,0.9909351349997451,1.0227330009947764
11,B_then_A,1.016369171004044,0.9718932259929716
12,B_then_A,1.0087805110015324,1.0595847189979395
13,B_then_A,1.0015285970002878,0.9943528750009136
14,A_then_B,1.0017761799972504,0.9458464340059436
15,A_then_B,0.9572257300023921,0.9834759240038693
16,A_then_B,1.0087304089975078,0.9498164730030112
17,A_then_B,0.9828166419974877,0.9668900250035222
18,B_then_A,0.833908684006019,0.932765534002101
19,A_then_B,0.8266718950035283,0.8421572399965953
20,B_then_A,0.830050422999193,0.8378895300047589
21,B_then_A,0.8377537370033679,0.8240561239945237
22,A_then_B,0.9320211110025411,0.9207082180000725
23,B_then_A,1.0645225850021234,1.046312696998939
24,B_then_A,1.2782052990005468,1.0858973380018142
25,A_then_B,1.1592596580012469,1.0597319240041543
26,A_then_B,0.9840503950035782,0.9050749960006215
27,B_then_A,0.9056825129955541,0.9150242949981475
28,A_then_B,1.0208412380015943,0.9597712220056565
29,B_then_A,0.9745542769960593,0.9961670789998607
30,A_then_B,0.9062713620005525,0.8604905600004713
31,A_then_B,0.8586057490028907,0.9759460410059546
32,B_then_A,0.9096121910042712,0.9862374699951033
33,A_then_B,0.8763810809978168,0.8746269589973963
34,B_then_A,1.0238581320008961,0.8820651919959346
35,A_then_B,0.980697205006436,0.9671064979993389
36,B_then_A,1.0044859260015073,0.9505728199947043
37,B_then_A,0.9607018340029754,0.9784291559990379
38,B_then_A,0.8685568969958695,0.9700412370002596
39,A_then_B,1.034868415001256,1.264266765996581
40,B_then_A,1.0700961440015817,1.2377162820048397
41,B_then_A,1.146183420001762,1.2697114710026653
42,A_then_B,1.1883808319980744,1.1363727069983725
43,A_then_B,1.141733682998165,1.3012362900044536
44,A_then_B,1.2684341910062358,1.2457106359943282
45,B_then_A,1.1481884680033545,1.1748941690020729
46,A_then_B,1.2653895059993374,1.188936985003238
47,B_then_A,1.1760678749997169,1.1173465679967194
48,B_then_A,1.2122352360020159,1.1706842359999428
49,A_then_B,1.1688717690049089,1.275878736996674
50,A_then_B,1.252503253002942,1.1991549550002674
51,B_then_A,1.214250343000458,1.1649646709993249
52,A_then_B,1.2603212020039791,1.447764641001413
53,B_then_A,1.1449090059977607,1.1772870719942148
54,B_then_A,1.0442573810069007,1.0866078679973725
55,A_then_B,1.0138327160020708,1.1862996950003435
56,B_then_A,1.094131590994948,1.1249563890014542
57,A_then_B,1.1918740850014728,0.9654281039984198
58,A_then_B,0.9968481870018877,0.9798027569995611
59,A_then_B,1.1713522860009107,0.9913493810017826
60,A_then_B,1.0453088220019708,1.0492459989982308
61,A_then_B,1.0049229680007556,1.014245808000851
62,A_then_B,0.9833266610003193,1.0082503450030345
63,B_then_A,1.0312255629978608,1.0675600539980223
64,B_then_A,0.9587853940029163,0.9827616019974812
65,B_then_A,0.9296155509946402,0.9929998959996738
66,B_then_A,0.9421676339989062,0.9230718640028499
67,A_then_B,0.9013738190042204,0.9074249050026992
68,A_then_B,0.9944146090056165,0.9731728830010979
69,B_then_A,0.9723777469989727,0.9637454870025977
70,B_then_A,1.0174259670020547,0.9589007809991017
71,A_then_B,1.0106650939997053,0.9899842930026352
72,B_then_A,0.9408984280016739,0.9694416109996382
73,B_then_A,0.9685294299997622,0.8878617360023782
74,A_then_B,1.011385579004127,0.816733943996951
75,A_then_B,0.9686419790014043,0.7951081820065156
76,B_then_A,0.9488314970003557,0.9917342019980424
77,A_then_B,0.8901393389969599,0.8385269110003719
78,A_then_B,0.9558658530004323,0.9389220219964045
79,B_then_A,1.0222599160042591,1.031370920005429
80,B_then_A,0.9239227610014495,0.9289710090015433
81,B_then_A,0.9515964809979778,0.9698295990019687
82,A_then_B,0.9370527720020618,0.8685649510007352
83,B_then_A,0.9441438870053389,1.0428356019983767
84,A_then_B,1.0254186720048892,1.0225657300034072
85,B_then_A,0.9375504710042151,0.9936393729949486
86,B_then_A,1.0229720139977871,0.9969548230001237
87,B_then_A,0.9033231459980016,0.8794843150026281
88,A_then_B,0.8598390850020223,0.8985798799985787
89,A_then_B,0.8733302589971572,0.8371184110001195
90,B_then_A,0.8334828059960273,0.815565004995733
91,A_then_B,0.8395892030021059,0.8300825069964048
92,B_then_A,0.8454726799973287,0.8154036179985269
93,B_then_A,0.8360946890024934,0.823950904996309
94,A_then_B,0.8348056739996537,0.8633124450061587
95,A_then_B,0.8310938489958062,0.8233444730067276
96,B_then_A,0.8456760199987912,0.8533061120033381
97,A_then_B,0.8296385159992496,0.8164649350001127
98,A_then_B,0.8420340800003032,0.8230767779969028
99,B_then_A,1.1181465979971108,0.9303391989960801
