customer_id,execution_order,time_a,time_b
1,B_then_A,0.00010171499889111146,0.0009064260011655279
2,B_then_A,7.466399983968586e-05,8.032099867705256e-05
3,A_then_B,7.344000187003985e-05,7.063399971229956e-05
4,B_then_A,9.186600073007867e-05,7.024099613772705e-05
5,B_then_A,8.324399823322892e-05,7.345400081248954e-05
6,A_then_B,7.050699787214398e-05,7.010300032561645e-05
7,B_then_A,6.936900172149763e-05,7.027600076980889e-05
8,B_then_A,6.819400005042553e-05,6.967099761823192e-05
9,A_then_B,7.055100286379457e-05,6.96319984854199e-05
10,B_then_A,6.837399996584281e-05,6.937800208106637e-05
11,A_then_B,9.539999882690609e-05,8.50669966894202e-05
12,A_then_B,7.042099605314434e-05,6.930000381544232e-05
13,B_then_A,6.856500112917274e-05,6.961000326555222e-05
14,B_then_A,6.920699524926022e-05,6.996199954301119e-05
15,B_then_A,7.084899698384106e-05,7.168800220824778e-05
16,A_then_B,0.0001095710031222552,0.00013659599790116772
17,A_then_B,0.00015458100097021088,0.0001320730007137172
18,A_then_B,0.0001299110008403659,0.00012961200263816863
19,A_then_B,0.00012855400564149022,7.821799954399467e-05
20,A_then_B,7.219800318125635e-05,7.044900121400133e-05
21,A_then_B,7.142400136217475e-05,7.402000483125448e-05
22,A_then_B,7.304899918381125e-05,7.06470018485561e-05
23,B_then_A,7.045100210234523e-05,7.14029956725426e-05
24,A_then_B,7.105799886630848e-05,7.108299905667081e-05
25,A_then_B,7.136500062188134e-05,7.188999734353274e-05
26,A_then_B,7.235800148919225e-05,7.102699601091444e-05
27,B_then_A,7.012900459812954e-05,7.11679967935197e-05
28,A_then_B,7.317699783015996e-05,7.826000364730135e-05
29,A_then_B,7.29569946997799e-05,7.078400085447356e-05
30,B_then_A,6.862200098112226e-05,7.099700451362878e-05
31,A_then_B,7.130300218705088e-05,7.046000246191397e-05
32,B_then_A,7.053400622680783e-05,7.276600081240758e-05
33,B_then_A,6.962900079088286e-05,7.120399823179469e-05
34,A_then_B,7.165900024119765e-05,7.051099964883178e-05
35,A_then_B,7.223499414976686e-05,7.752300007268786e-05
36,A_then_B,7.269100024132058e-05,7.187199662439525e-05
37,A_then_B,7.260900019900873e-05,7.084699609549716e-05
38,A_then_B,7.357399590546265e-05,7.310300134122372e-05
39,A_then_B,7.629100582562387e-05,7.140800153138116e-05
40,A_then_B,7.447900134138763e-05,0.00012728200090350583
41,B_then_A,8.10390047263354e-05,0.00010048200056189671
42,A_then_B,7.64479991630651e-05,7.226700108731166e-05
43,A_then_B,7.198099774541333e-05,7.116800406947732e-05
44,A_then_B,7.350200030487031e-05,7.24179990356788e-05
45,A_then_B,7.177699444582686e-05,7.255899981828406e-05
46,B_then_A,6.974599818931893e-05,7.202300184872001e-05
47,B_then_A,7.409899990307167e-05,7.387300138361752e-05
48,B_then_A,8.063600398600101e-05,8.837700443109497e-05
49,B_then_A,7.142400136217475e-05,7.573699986096472e-05
50,B_then_A,7.141200330806896e-05,7.330399967031553e-05
51,A_then_B,7.31170002836734e-05,7.113500032573938e-05
52,A_then_B,7.650600309716538e-05,7.141999958548695e-05
53,B_then_A,7.067200203891844e-05,7.165799615904689e-05
54,A_then_B,7.229000038933009e-05,7.117499626474455e-05
55,B_then_A,7.21100004739128e-05,7.54710054025054e-05
56,A_then_B,7.423200440825894e-05,7.603599806316197e-05
57,B_then_A,7.454500155290589e-05,7.83849973231554e-05
58,B_then_A,7.392199768219143e-05,7.655299850739539e-05
59,B_then_A,7.267599721672013e-05,7.372799882432446e-05
60,A_then_B,7.342000026255846e-05,7.038500189082697e-05
61,B_then_A,7.738099520793185e-05,7.497600017813966e-05
